consumer_sentiment,disposable_income,cpi,unemployment,grocery_delivery,meal_kit,food_inflation,canned_goods,sentiment_score,promo_flag,revenue_lag1,revenue_lag3,date
203.67947,4394.7754,-10199.939,387.8616,15745.685,-796.85266,6114.099,-17022.885,1683.7249,86877.9,-124966.12,10088.929,2010-03-01
-3068.334,-2238.2163,-10153.277,121.6767,18421.547,-2149.327,3521.229,-17549.611,2394.48,-115506.31,1928.0935,-7326.878,2010-04-01
-2873.359,-1978.3413,-10196.209,395.52008,21959.1,-2156.5857,5731.2534,-16092.137,2553.5242,-78676.336,-39746.695,-6391.603,2010-05-01
-2122.0898,-1977.3491,-10267.852,-185.34016,19863.344,10817.926,10023.93,-15345.967,-4098.911,-71877.984,-34234.56,11141.89,2010-06-01
-3363.211,-2186.3542,-10269.138,-226.01149,18187.291,-2185.1035,3461.3152,-17549.611,1640.3513,-102576.08,-10715.595,-7209.321,2010-07-01
-3251.729,990.67285,-10196.209,356.50577,17927.07,-2156.5857,5761.537,-16043.919,2761.0398,-74706.68,-40657.46,-3517.651,2010-08-01
-2405.5237,-7469.155,8712.636,395.52008,40401.207,-796.85266,5292.166,-13817.969,-5519.543,123814.99,-54489.16,10071.206,2010-09-01
-1152.47,2721.325,8747.434,-65.94602,29448.729,-795.2971,1059.3668,-13280.417,7406.846,168664.45,109450.01,-3058.0415,2010-10-01
781.75244,2661.3264,3917.8613,113.87383,11087.236,-789.5936,-9480.503,133119.8,1983.9995,183102.11,109475.77,7505.5815,2010-11-01
-605.4369,1939.9617,8781.115,-57.81176,27301.865,4716.654,3106.6562,-13878.892,2622.4138,-78996.96,189301.73,12461.246,2010-12-01
-6906.724,5285.3013,3416.4626,-65.07077,-53203.043,-2155.0305,6810.356,-17699.928,107.49133,-119333.85,32636.404,-6731.078,2011-01-01
-9576.686,-2718.847,3284.96,-203.7176,-52854.336,-2185.1035,-41118.336,-19441.17,-15920.094,-89068.28,-41275.03,-7036.823,2011-02-01
-14334.24,-1759.63,3393.3848,-177.59117,-43810.33,-825.3702,1812.9458,-17929.146,4749.063,79407.336,-137397.05,-4165.9395,2011-03-01
-9497.539,888.31836,3392.099,-177.59117,-49669.797,-2185.1035,-39985.95,-19197.438,-6590.513,-87234.3,-43292.75,-3901.1045,2011-04-01
-485.2106,-2548.051,8915.193,-100.730515,20215.846,4019.2605,2759.5981,-15028.464,-2348.0085,80872.21,-138881.98,-5434.631,2011-05-01
-3089.1272,104.872055,8830.798,-44.47335,21105.305,10742.743,5770.587,-14927.68,16479.623,-110456.18,5376.588,-5233.558,2011-06-01
25411.125,-1269.0354,3471.042,-51.73236,-28760.299,-2155.0305,6828.828,-16472.744,-6201.8228,-117721.2,12201.148,-3126.8218,2011-07-01
25849.566,-1635.3389,3553.79,-137.02559,-29282.53,-2185.1035,7091.737,-15828.768,19540.354,-72481.05,-25530.434,9204.07,2011-08-01
9421.733,1161.6833,8814.868,-51.73236,14287.129,-795.2971,2293.974,-13438.481,7022.9844,147575.44,37722.066,11255.236,2011-09-01
2341.2458,594.1838,8724.0,-44.47335,20527.512,3944.0776,1234.1257,-12465.514,-5912.2666,170663.0,112020.85,10656.566,2011-10-01
9030.544,1764.8969,1982.4398,-44.47335,-19976.268,3944.0776,5178.0205,156605.02,-6319.285,169089.08,106000.61,7614.681,2011-11-01
-10447.187,-9137.906,3097.1943,-51.73236,-55037.812,-2155.0305,6087.9375,-18338.27,-16105.631,-120028.234,29154.717,-14901.023,2011-12-01
