date,consumer_sentiment,disposable_income,cpi,unemployment
2009-01-01,61.2,12361.5,211.933,7.8
2009-02-01,56.3,12241.9,212.705,8.3
2009-03-01,57.3,12242.7,212.495,8.7
2009-04-01,65.1,12320.0,212.709,9.0
2009-05-01,68.7,12500.1,213.022,9.4
2009-06-01,70.8,12273.2,214.79,9.5
2009-07-01,66.0,12218.7,214.726,9.5
2009-08-01,65.7,12194.8,215.445,9.6
2009-09-01,73.5,12230.6,215.861,9.8
2009-10-01,70.6,12193.2,216.509,10.0
2009-11-01,67.4,12224.4,217.234,9.9
2009-12-01,72.5,12280.2,217.347,9.9
2010-01-01,74.4,12285.8,217.488,9.8
2010-02-01,73.6,12292.0,217.281,9.8
2010-03-01,73.6,12340.3,217.353,9.9
2010-04-01,72.2,12447.1,217.403,9.9
2010-05-01,73.6,12540.3,217.29,9.6
2010-06-01,76.0,12544.3,217.199,9.4
2010-07-01,67.8,12554.2,217.605,9.4
2010-08-01,68.9,12591.4,217.923,9.5
2010-09-01,68.2,12589.9,218.275,9.5
2010-10-01,67.7,12592.5,219.035,9.4
2010-11-01,71.6,12605.1,219.59,9.8
2010-12-01,74.5,12680.6,220.472,9.3
2011-01-01,74.2,12740.1,221.187,9.1
2011-02-01,77.5,12776.6,221.898,9.0
2011-03-01,67.5,12742.7,223.046,9.0
2011-04-01,69.8,12721.3,224.093,9.1
2011-05-01,74.3,12705.3,224.806,9.0
2011-06-01,71.5,12756.9,224.806,9.1
2011-07-01,63.7,12805.6,225.395,9.0
2011-08-01,55.8,12799.7,226.106,9.0
2011-09-01,59.5,12781.7,226.597,9.0
2011-10-01,60.8,12791.9,226.75,8.8
2011-11-01,63.7,12782.7,227.169,8.6
2011-12-01,69.9,12898.5,227.223,8.5
